Issue Title,Issue Number,State,Created At,Updated At,Closed At,URL,Labels,Author,Comments
RubyVersionMismatch when generating app with prerelease ruby (on Rails 7.0.x),46716,closed,2022-12-13T17:47:50Z,2022-12-19T16:56:27Z,2022-12-19T16:56:27Z,https://github.com/rails/rails/issues/46716,['attached PR'],jcoyne,5
Error when setting a wildcard cookie domain,46713,closed,2022-12-13T12:13:19Z,2022-12-13T12:38:38Z,2022-12-13T12:38:38Z,https://github.com/rails/rails/issues/46713,[],heaven,2
`ExecutorTest#test_class_serial_is_unaffected` testing with Ruby 3.2,46712,closed,2022-12-13T11:49:55Z,2022-12-16T09:47:34Z,2022-12-15T09:14:08Z,https://github.com/rails/rails/issues/46712,['activesupport'],voxik,7
Monkey Patch 'at_with_coercion' (activesupport) / Handle milliseconds from epoch,46710,closed,2022-12-13T09:01:40Z,2023-01-03T15:21:02Z,2023-01-03T15:21:02Z,https://github.com/rails/rails/issues/46710,[],StefanMueller1993,4
ActiveStorage: CORB (blocking) cross-origin responses when fetching files (s3 + MIME type application/pdf),46707,closed,2022-12-13T02:22:00Z,2022-12-22T22:25:55Z,2022-12-22T22:25:55Z,https://github.com/rails/rails/issues/46707,['activestorage'],mrjonesbot,4
undefined method `alias_method_chain' for ActionController::Base:Class,46705,closed,2022-12-12T19:56:19Z,2022-12-13T14:33:58Z,2022-12-13T14:33:58Z,https://github.com/rails/rails/issues/46705,[],arshekas,2
attachment_upload.js throws an uncaught error when direct uploads return a 500 error,46702,closed,2022-12-12T16:58:18Z,2023-03-25T19:13:15Z,2023-03-25T19:13:15Z,https://github.com/rails/rails/issues/46702,"['stale', 'activestorage', 'actiontext']",Nitrodist,2
"Also in Rails 6, should not require 'selenium-webdriver' gem with non-selenium drivers",46695,closed,2022-12-10T06:47:56Z,2022-12-14T02:15:46Z,2022-12-14T02:15:45Z,https://github.com/rails/rails/issues/46695,[],yokoto,1
Docs: Automatic Role Switching has no information on what is required for custom implementation,46693,closed,2022-12-10T01:12:38Z,2023-01-06T13:08:28Z,2023-01-06T13:08:28Z,https://github.com/rails/rails/issues/46693,['docs'],SampsonCrowley,3
Error cucumber features testing ruby 2.6.6 and rails 4.2.10,46692,closed,2022-12-09T23:26:23Z,2022-12-12T20:35:48Z,2022-12-12T17:39:08Z,https://github.com/rails/rails/issues/46692,[],arshekas,5
`ActiveRecord::StrictLoadingViolationError` when concatenating or setting association when non-persisted owner has primary key,46689,closed,2022-12-09T20:45:20Z,2022-12-12T16:57:22Z,2022-12-12T16:57:22Z,https://github.com/rails/rails/issues/46689,"['activerecord', 'attached PR']",richardboehme,0
Associations comming nil in before_save if we update the corresponding associated column to nil,46687,closed,2022-12-09T17:27:47Z,2023-01-03T21:03:47Z,2023-01-03T21:03:47Z,https://github.com/rails/rails/issues/46687,"['activerecord', 'more-information-needed']",physics121,4
is there any possibility that implementing find! method?,46686,closed,2022-12-09T16:20:53Z,2022-12-12T17:44:30Z,2022-12-12T17:44:30Z,https://github.com/rails/rails/issues/46686,[],akkt222,4
Changes in behaviour with `#dup` and `#concat`,46685,closed,2022-12-09T14:41:43Z,2022-12-10T03:24:24Z,2022-12-09T18:27:29Z,https://github.com/rails/rails/issues/46685,['activerecord'],adrianna-chang-shopify,2
Serialized attributes assigned with accepts_nested_attributes_for throw Psych::DisallowedClass errors,46684,open,2022-12-09T14:36:18Z,2023-02-07T15:40:51Z,,https://github.com/rails/rails/issues/46684,"['activerecord', 'attached PR']",akaspick,1
Error during installation,46682,closed,2022-12-09T08:23:05Z,2022-12-13T01:10:18Z,2022-12-13T01:10:18Z,https://github.com/rails/rails/issues/46682,[],DmytroKmetsynskyi,2
Foreign key migrations: if_exists and if_not_exists are broken for same to_table with multiple column names,46680,closed,2022-12-09T01:34:15Z,2022-12-09T14:14:51Z,2022-12-09T14:14:51Z,https://github.com/rails/rails/issues/46680,[],spearl,0
